short id,full name,state,party,full name,party,state,distinct,canonical URL,url1,url2
hoekstra,"Hoekstra, Pete", Michigan,,Pete Hoekstra,R,MI,2,http://house.gov/hoekstra/,gov.house.www/hoekstra,
holden,"Holden, Tim", Pennsylvania,,Tim Holden,D,PA,17,http://house.gov/holden/,gov.house.holden,gov.house.www/holden
rholt,"Holt, Rush", New Jersey,,Rush D. Holt,D,NJ,12,http://house.gov/rholt/,gov.house.www/rholt,
honda,"Honda, Mike", California,,Mike Honda,D,CA,15,http://house.gov/honda/,gov.house.www/honda,
hooley,"Hooley, Darlene", Oregon,,Darlene Hooley,D,OR,5,http://house.gov/hooley/,gov.house.www/hooley,
hostettler,"Hostettler, John", Indiana,,John Hostettler,R,IN,8,http://house.gov/hostettler/,gov.house.www/hostettler,
houghton,"Houghton, Amo", New York,,Amo Houghton,R,NY,29,http://houghton.house.gov/,gov.house.houghton,gov.house.www/houghton
hoyer,"Hoyer, Steny", Maryland,,Steny Hoyer,D,MD,5,http://hoyer.house.gov/,gov.house.hoyer,
hulshof,"Hulshof, Kenny", Missouri,,Kenny Hulshof,R,MO,9,http://house.gov/hulshof/,gov.house.www/hulshof,
hunter,"Hunter, Duncan", California,,Duncan Hunter,R,CA,52,http://house.gov/hunter/,gov.house.www/hunter,
hyde,"Hyde, Henry J.", Illinois,,Henry Hyde,R,IL,6,http://house.gov/hyde/,gov.house.www/hyde,
inslee,"Inslee, Jay", Washington,,Jay Inslee,D,WA,1,http://house.gov/inslee/,,
isakson,"Isakson, Johnny", Georgia,,Johnny Isakson,R,GA,6,http://isakson.house.gov/,gov.house.isakson,
israel,"Israel, Steve", New York,,Steve Israel,D,NY,2,http://house.gov/israel/,gov.house.www/israel,
issa,"Issa, Darrell", California,,Darrell Issa,R,CA,49,http://www.house.gov/issa/,gov.house.issa,
istook,"Istook, Ernest J.", Oklahoma,,Ernest Istook,R,OK,5,http://house.gov/istook/,gov.house.www/istook,
jacksonlee,"Jackson Lee, Sheila", Texas,,Sheila Jackson-Lee,D,TX,18,http://house.gov/jacksonlee/,,
janklow,"Janklow, William J.", Louisiana,,Bill Janklow,R,"SD
",,http://www.house.gov/janklow/,gov.house.www/janklow,
jefferson,"Jefferson, William", South Dakota,,William Jefferson,D,LA,2,http://house.gov/jefferson/,gov.house.www/jefferson,
jenkins,"Jenkins, William L.", Tennessee,,William L. Jenkins,R,TN,1,http://house.gov/jenkins/,gov.house.www/jenkins,
john,"John, Chris", Louisiana,,Chris John,D,LA,7,http://house.gov/john/,gov.house.www/john,
ebjohnson,"Johnson, Eddie Bernice", Texas,,Eddie Bernice Johnson,D,TX,30,http://house.gov/ebjohnson/,,
nancyjohnson,"Johnson, Nancy L.", Connecticut,,Nancy Johnson,R,CT,5,http://house.gov/nancyjohnson/,,
samjohnson,"Johnson, Sam", Texas,,Sam Johnson,R,TX,3,http://www.samjohnson.house.gov/,,
timjohnson,"Johnson, Timothy V.", Illinois,,Timothy Johnson,R,IL,15,http://house.gov/timjohnson/,,
tubbsjones,"Jones, Stephanie Tubbs", Ohio,,Stephanie Tubbs Jones,D,OH,11,http://house.gov/tubbsjones/,,
jones,"Jones, Walter B.", North Carolina,,Walter B. Jones,R,NC,3,http://house.gov/jones/,gov.house.www/jones,gov.house.jones
kanjorski,"Kanjorski, Paul E.", Pennsylvania,,Paul Kanjorski,D,PA,11,http://house.gov/kanjorski/,gov.house.www/kanjorski,
kaptur,"Kaptur, Marcy", Ohio,,Marcy Kaptur,D,OH,9,http://house.gov/kaptur/,gov.house.wwwc/kaptur,gov.house.www/kaptur
